warehouse_id,warehouse_name,region,cluster,current_inventory,monthly_demand,monthly_supply,demand_to_supply_ratio,predicted_risk,risk_probability,safety_stock,inventory_gap,recommended_action,recommended_quantity,priority,explainable_reason
WH-16,Depot West-1 — Bhiwandi Logistics Hub,West,Cluster 1 — High-Velocity Shortage Risk,1166,113470,75018,1.51,Understock / Shortage,0.967,32902,106781,Urgent Safety Stock Injection & Expedited Replenishment,106800,Critical,"Critical shortage risk (p=96.7%): DSR=1.51, inventory (1,167) has breached safety stock (32,903) with 8 recent stockout incidents. Expedite inbound supplier delivery."
WH-17,Depot West-2 — Navi Mumbai Metro,West,Cluster 2 — Chronic Overstock Buffers,144904,31937,39140,0.82,Overstock,0.895,3015,-129948,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-129950,High,"High overstock risk (p=89.5%): DSR=0.82 < 1.0, excess stock of 129,950 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-18,Facility West-3 — Pune Auto Corridor,West,Cluster 0 — Balanced Operational Flow,53466,76749,79090,0.97,Overstock,0.7,12019,13937,Reduce Next Purchase Order Allocation,0,Medium,Moderate overstock trend (p=70.0%): Supply pace exceeds demand run-rate. Scale back upcoming monthly replenishment cycle.
WH-19,Depot West-4 — Chakan Industrial DC,West,Cluster 0 — Balanced Operational Flow,19944,46457,48742,0.95,Balanced,0.836,7129,5306,Maintain Scheduled Standard Replenishment,33700,Low,"Balanced inventory posture (p=83.6%): DSR=0.95 is healthy, fill rate is 98.1%. Execute regular cyclical replenishment."
WH-20,Hub West-5 — Ahmedabad Sanand Park,West,Cluster 0 — Balanced Operational Flow,81658,89876,88569,1.01,Overstock,0.742,13716,-7158,Reduce Next Purchase Order Allocation,-7200,Medium,Moderate overstock trend (p=74.2%): Supply pace exceeds demand run-rate. Scale back upcoming monthly replenishment cycle.
WH-21,Depot West-6 — Surat Textile DC,West,Cluster 0 — Balanced Operational Flow,50137,57470,53830,1.07,Overstock,0.773,8053,-11811,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-11850,High,"High overstock risk (p=77.3%): DSR=1.07 < 1.0, excess stock of 11,850 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-22,Facility West-7 — Vadodara Depot,West,Cluster 2 — Chronic Overstock Buffers,205828,41495,47523,0.87,Overstock,0.899,4169,-183944,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-183950,High,"High overstock risk (p=89.9%): DSR=0.87 < 1.0, excess stock of 183,950 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-23,Depot West-8 — Rajkot Saurashtra,West,Cluster 2 — Chronic Overstock Buffers,114759,25419,27340,0.93,Overstock,0.867,3648,-100897,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-100900,High,"High overstock risk (p=86.7%): DSR=0.93 < 1.0, excess stock of 100,900 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-24,Depot West-9 — Nashik Agri Hub,West,Cluster 1 — High-Velocity Shortage Risk,224,29381,22210,1.32,Understock / Shortage,0.829,8602,20416,Urgent Safety Stock Injection & Expedited Replenishment,20450,Critical,"Critical shortage risk (p=82.8%): DSR=1.32, inventory (225) has breached safety stock (8,602) with 4 recent stockout incidents. Expedite inbound supplier delivery."
WH-25,Facility West-10 — Aurangabad Center,West,Cluster 1 — High-Velocity Shortage Risk,172,20452,12999,1.57,Understock / Shortage,0.977,6607,15737,Urgent Safety Stock Injection & Expedited Replenishment,15750,Critical,"Critical shortage risk (p=97.7%): DSR=1.57, inventory (172) has breached safety stock (6,607) with 4 recent stockout incidents. Expedite inbound supplier delivery."
WH-26,Depot West-11 — Kolhapur Transit,West,Cluster 2 — Chronic Overstock Buffers,87950,16798,21061,0.8,Overstock,0.634,1929,-80745,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-80750,High,"High overstock risk (p=63.4%): DSR=0.80 < 1.0, excess stock of 80,750 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-27,Depot West-12 — Goa Coastal DC,West,Cluster 0 — Balanced Operational Flow,18458,16339,15681,1.04,Overstock,0.872,3521,-9908,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-9950,High,"High overstock risk (p=87.2%): DSR=1.04 < 1.0, excess stock of 9,950 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-28,Hub West-13 — Thane Express Depot,West,Cluster 2 — Chronic Overstock Buffers,238578,44967,53972,0.83,Overstock,0.743,4228,-210202,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-210250,High,"High overstock risk (p=74.2%): DSR=0.83 < 1.0, excess stock of 210,250 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-29,Hub South-1 — Bengaluru Electronic City,South,Cluster 2 — Chronic Overstock Buffers,288771,124125,124331,1.0,Overstock,0.927,16157,-189195,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-189200,High,"High overstock risk (p=92.7%): DSR=1.00 < 1.0, excess stock of 189,200 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-30,Depot South-2 — Hosur Road Corridor,South,Cluster 1 — High-Velocity Shortage Risk,550,85539,46021,1.86,Understock / Shortage,0.903,22604,60444,Urgent Safety Stock Injection & Expedited Replenishment,60450,Critical,"Critical shortage risk (p=90.3%): DSR=1.86, inventory (550) has breached safety stock (22,605) with 9 recent stockout incidents. Expedite inbound supplier delivery."
WH-31,Facility South-3 — Whitefield Urban DC,South,Cluster 1 — High-Velocity Shortage Risk,198,24742,18776,1.32,Understock / Shortage,0.902,8328,22108,Urgent Safety Stock Injection & Expedited Replenishment,22150,Critical,"Critical shortage risk (p=90.2%): DSR=1.32, inventory (198) has breached safety stock (8,328) with 5 recent stockout incidents. Expedite inbound supplier delivery."
WH-32,Hub South-4 — Chennai Port Mega Hub,South,Cluster 0 — Balanced Operational Flow,130633,124125,124331,1.0,Overstock,0.783,19415,-29429,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-29450,High,"High overstock risk (p=78.3%): DSR=1.00 < 1.0, excess stock of 29,450 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-33,Depot South-5 — Sriperumbudur Terminal,South,Cluster 0 — Balanced Operational Flow,38627,44084,43142,1.02,Overstock,0.833,8714,600,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,0,High,"High overstock risk (p=83.3%): DSR=1.02 < 1.0, excess stock of 0 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-34,Depot South-6 — Coimbatore Industrial Hub,South,Cluster 1 — High-Velocity Shortage Risk,53,43378,28858,1.5,Understock / Shortage,0.94,13738,39495,Urgent Safety Stock Injection & Expedited Replenishment,39500,Critical,"Critical shortage risk (p=94.0%): DSR=1.50, inventory (54) has breached safety stock (13,739) with 7 recent stockout incidents. Expedite inbound supplier delivery."
WH-35,Facility South-7 — Madurai South Gateway,South,Cluster 2 — Chronic Overstock Buffers,110380,21390,26367,0.81,Overstock,0.791,2648,-96638,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-96650,High,"High overstock risk (p=79.1%): DSR=0.81 < 1.0, excess stock of 96,650 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-36,Hub South-8 — Hyderabad Shamshabad DC,South,Cluster 2 — Chronic Overstock Buffers,288771,108476,118318,0.92,Overstock,0.695,11927,-191311,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-191350,High,"High overstock risk (p=69.5%): DSR=0.92 < 1.0, excess stock of 191,350 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-37,Depot South-9 — Secunderabad Express,South,Cluster 0 — Balanced Operational Flow,43143,55833,53012,1.05,Overstock,0.807,12413,-3864,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-3900,High,"High overstock risk (p=80.7%): DSR=1.05 < 1.0, excess stock of 3,900 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-38,Facility South-10 — Vijayawada River Hub,South,Cluster 1 — High-Velocity Shortage Risk,474,36654,24168,1.52,Understock / Shortage,0.897,15070,44735,Urgent Safety Stock Injection & Expedited Replenishment,44750,Critical,"Critical shortage risk (p=89.7%): DSR=1.52, inventory (474) has breached safety stock (15,071) with 11 recent stockout incidents. Expedite inbound supplier delivery."
WH-39,Depot South-11 — Visakhapatnam Port DC,South,Cluster 0 — Balanced Operational Flow,32699,43636,44018,0.99,Overstock,0.548,10810,-192,Reduce Next Purchase Order Allocation,-200,Medium,Moderate overstock trend (p=54.9%): Supply pace exceeds demand run-rate. Scale back upcoming monthly replenishment cycle.
WH-40,Depot South-12 — Kochi Maritime Terminal,South,Cluster 2 — Chronic Overstock Buffers,198416,40122,49381,0.81,Overstock,0.862,6107,-171602,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-171650,High,"High overstock risk (p=86.2%): DSR=0.81 < 1.0, excess stock of 171,650 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-41,Facility South-13 — Kozhikode Depot,South,Cluster 1 — High-Velocity Shortage Risk,309,19852,12224,1.62,Understock / Shortage,0.93,6258,13909,Urgent Safety Stock Injection & Expedited Replenishment,13950,Critical,"Critical shortage risk (p=93.0%): DSR=1.62, inventory (310) has breached safety stock (6,258) with 11 recent stockout incidents. Expedite inbound supplier delivery."
WH-42,Depot South-14 — Mysuru Heritage DC,South,Cluster 1 — High-Velocity Shortage Risk,318,18273,9535,1.92,Understock / Shortage,0.914,8709,16705,Urgent Safety Stock Injection & Expedited Replenishment,16750,Critical,"Critical shortage risk (p=91.4%): DSR=1.92, inventory (318) has breached safety stock (8,709) with 12 recent stockout incidents. Expedite inbound supplier delivery."
WH-43,Hub East-1 — Kolkata Dankuni Mega Hub,East,Cluster 1 — High-Velocity Shortage Risk,668,99314,62036,1.6,Understock / Shortage,0.915,30873,106264,Urgent Safety Stock Injection & Expedited Replenishment,106300,Critical,"Critical shortage risk (p=91.5%): DSR=1.60, inventory (669) has breached safety stock (30,873) with 5 recent stockout incidents. Expedite inbound supplier delivery."
WH-44,Depot East-2 — Howrah Freight Center,East,Cluster 2 — Chronic Overstock Buffers,214800,44641,52829,0.84,Overstock,0.926,5701,-186308,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-186350,High,"High overstock risk (p=92.6%): DSR=0.84 < 1.0, excess stock of 186,350 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-45,Facility East-3 — Siliguri North Corridor,East,Cluster 1 — High-Velocity Shortage Risk,209,31425,19415,1.62,Understock / Shortage,0.64,14094,36121,Urgent Safety Stock Injection & Expedited Replenishment,36150,Critical,"Critical shortage risk (p=64.0%): DSR=1.62, inventory (210) has breached safety stock (14,095) with 7 recent stockout incidents. Expedite inbound supplier delivery."
WH-46,Depot East-4 — Patna Ganga Terminal,East,Cluster 1 — High-Velocity Shortage Risk,1042,47517,35159,1.35,Understock / Shortage,0.787,22212,46849,Urgent Safety Stock Injection & Expedited Replenishment,46850,Critical,"Critical shortage risk (p=78.7%): DSR=1.35, inventory (1,042) has breached safety stock (22,213) with 5 recent stockout incidents. Expedite inbound supplier delivery."
WH-47,Depot East-5 — Ranchi Chotanagpur DC,East,Cluster 2 — Chronic Overstock Buffers,110566,21894,27780,0.79,Overstock,0.782,3658,-96977,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-97000,High,"High overstock risk (p=78.2%): DSR=0.79 < 1.0, excess stock of 97,000 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-48,Facility East-6 — Jamshedpur Steel Hub,East,Cluster 1 — High-Velocity Shortage Risk,125,18969,12157,1.56,Understock / Shortage,0.88,5445,13228,Urgent Safety Stock Injection & Expedited Replenishment,13250,Critical,"Critical shortage risk (p=88.0%): DSR=1.56, inventory (125) has breached safety stock (5,446) with 5 recent stockout incidents. Expedite inbound supplier delivery."
WH-49,Depot East-7 — Bhubaneswar Gateway,East,Cluster 1 — High-Velocity Shortage Risk,211,43061,24771,1.74,Understock / Shortage,0.855,18901,45222,Urgent Safety Stock Injection & Expedited Replenishment,45250,Critical,"Critical shortage risk (p=85.5%): DSR=1.74, inventory (212) has breached safety stock (18,902) with 8 recent stockout incidents. Expedite inbound supplier delivery."
WH-50,Depot East-8 — Cuttack Logistics Depot,East,Cluster 0 — Balanced Operational Flow,12277,15524,15927,0.97,Overstock,0.802,3025,-3444,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-3450,High,"High overstock risk (p=80.2%): DSR=0.97 < 1.0, excess stock of 3,450 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-51,Facility East-9 — Guwahati Northeast Hub,East,Cluster 1 — High-Velocity Shortage Risk,690,44155,23087,1.91,Understock / Shortage,0.892,16276,46685,Urgent Safety Stock Injection & Expedited Replenishment,46700,Critical,"Critical shortage risk (p=89.2%): DSR=1.91, inventory (690) has breached safety stock (16,276) with 6 recent stockout incidents. Expedite inbound supplier delivery."
WH-52,Depot East-10 — Durgapur Industrial Hub,East,Cluster 0 — Balanced Operational Flow,15743,21026,22188,0.95,Overstock,0.723,3445,-4617,Reduce Next Purchase Order Allocation,-4650,Medium,Moderate overstock trend (p=72.3%): Supply pace exceeds demand run-rate. Scale back upcoming monthly replenishment cycle.
WH-53,Hub Central-1 — Nagpur MIHAN Multimodal,Central,Cluster 2 — Chronic Overstock Buffers,288771,124125,124331,1.0,Overstock,0.936,17622,-188463,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-188500,High,"High overstock risk (p=93.6%): DSR=1.00 < 1.0, excess stock of 188,500 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-54,Depot Central-2 — Nagpur Wardha Road DC,Central,Cluster 1 — High-Velocity Shortage Risk,696,35954,21369,1.68,Understock / Shortage,0.873,19081,45662,Urgent Safety Stock Injection & Expedited Replenishment,45700,Critical,"Critical shortage risk (p=87.3%): DSR=1.68, inventory (697) has breached safety stock (19,082) with 8 recent stockout incidents. Expedite inbound supplier delivery."
WH-55,Hub Central-3 — Indore Pithampur Park,Central,Cluster 0 — Balanced Operational Flow,54298,73636,75002,0.98,Overstock,0.499,20615,-57,Reduce Next Purchase Order Allocation,-100,Medium,Moderate overstock trend (p=49.9%): Supply pace exceeds demand run-rate. Scale back upcoming monthly replenishment cycle.
WH-56,Depot Central-4 — Bhopal Central DC,Central,Cluster 2 — Chronic Overstock Buffers,180429,39787,42888,0.93,Overstock,0.853,6768,-156351,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-156400,High,"High overstock risk (p=85.3%): DSR=0.93 < 1.0, excess stock of 156,400 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-57,Facility Central-5 — Jabalpur Rail Terminal,Central,Cluster 2 — Chronic Overstock Buffers,118746,25770,28642,0.9,Overstock,0.886,2931,-108680,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-108700,High,"High overstock risk (p=88.6%): DSR=0.90 < 1.0, excess stock of 108,700 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-58,Depot Central-6 — Raipur Logistics Center,Central,Cluster 0 — Balanced Operational Flow,41795,34810,34216,1.02,Overstock,0.887,5369,-12855,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-12900,High,"High overstock risk (p=88.7%): DSR=1.02 < 1.0, excess stock of 12,900 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-59,Facility Central-7 — Bilaspur Transit Depot,Central,Cluster 1 — High-Velocity Shortage Risk,414,16995,10301,1.65,Understock / Shortage,0.91,9318,19568,Urgent Safety Stock Injection & Expedited Replenishment,19600,Critical,"Critical shortage risk (p=91.0%): DSR=1.65, inventory (415) has breached safety stock (9,319) with 7 recent stockout incidents. Expedite inbound supplier delivery."
WH-60,Depot Central-8 — Gwalior Express Gateway,Central,Cluster 0 — Balanced Operational Flow,19454,23856,23708,1.01,Overstock,0.831,4905,-7165,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-7200,High,"High overstock risk (p=83.1%): DSR=1.01 < 1.0, excess stock of 7,200 units locks working capital. Initiate lateral transfers to deficit regional depots."
